"speaker","count","total","rate"
"S0617",31,26363,0.00117589045252816
"S0618",158,97580,0.00161918425906948
"S0619",30,81316,0.00036893108367357
"S0620",2,3726,0.000536768652710682
"S0621",0,1307,0
"S0622",13,16250,8e-04
"S0623",47,32525,0.00144504227517294
"S0624",24,16348,0.00146806948862246
"S0625",7,1999,0.00350175087543772
"S0626",16,5258,0.00304298212248003
"S0627",22,8380,0.00262529832935561
"S0628",10,5791,0.00172681747539285
"S0629",2,2419,0.000826787928896238
"S0630",0,569,0
"S0631",16,7867,0.00203381212660481
"S0632",35,28815,0.00121464515009544
"S0633",1,1019,0.00098135426889107
"S0634",1,1346,0.000742942050520059
"S0635",8,11440,0.000699300699300699
"S0636",2,5531,0.000361598264328331
"S0637",4,4368,0.000915750915750916
"S0638",4,7907,0.000505880865056279
"S0639",0,2059,0
"S0640",15,5205,0.00288184438040346
"S0641",28,14781,0.00189432379405994
"S0642",0,1540,0
"S0643",2,2461,0.000812677773262901
"S0644",29,21202,0.00136779549099142
"S0645",16,9498,0.00168456517161508
"S0646",25,5683,0.00439908499032201
"S0647",8,2433,0.00328812166050144
"S0648",2,1095,0.00182648401826484
"S0649",4,2408,0.00166112956810631
"S0650",16,7348,0.00217746325530757
"S0651",30,9273,0.00323519896473633
"S0652",3,7792,0.000385010266940452
"S0653",149,157667,0.000945029714524916
"S0654",92,61719,0.00149062687341013
"S0655",108,60570,0.00178306092124814
"S0656",0,826,0
"S0660",4,5071,0.000788799053441136
"S0661",16,7098,0.00225415610030995
"S0662",2,11996,0.000166722240746916
"S0663",46,16585,0.00277359059391016
"S0664",0,2435,0
"S0665",0,1050,0
"S0666",4,11979,0.00033391768928959
"S0668",9,7084,0.00127046866177301
"S0669",7,2616,0.00267584097859327
"S0670",7,11569,0.000605065260610251
"S0671",38,19686,0.00193030580107691
"S0672",3,3224,0.000930521091811414
"S0673",0,1654,0
"S0674",11,5889,0.00186788928510783
"S0675",9,3119,0.00288554023725553
"S0676",0,19,0
"S0677",0,853,0
"S0678",13,3859,0.00336874838040943
"S0679",30,21378,0.00140331181588549
"S0680",27,22786,0.00118493811989818
"S0681",13,6270,0.00207336523125997
"S0682",0,1797,0
"S0683",0,957,0
"S0684",3,3872,0.000774793388429752
"S0685",16,5304,0.00301659125188537
"S0686",8,6972,0.00114744693057946
"S0687",15,44079,0.000340298101136596
"S0688",13,32479,0.00040025862865236
"S0689",19,32809,0.000579109390715962
"S0690",12,12021,0.000998253057149988
"S0691",1,2135,0.000468384074941452
"S0692",1,1105,0.000904977375565611
